ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
MS;3, 0, 5;4;5;0.013;0.27;0.37;0.52;0.42;0.33
SS;2, 1, 8;2;5;0.085;0.17;0.32;0.53;0.35;0.32
MS;1, 1, 5;2;5;-0.1;0.22;0.4;0.45;0.32;0.27
MS;4, 1, 4;2;5;-0.0075;0.18;0.3;0.51;0.32;0.25
MS;3, 1, 6;2;5;-0.15;0.19;0.41;0.41;0.32;0.28
MS;0, 1, 6;2;5;-0.089;0.18;0.35;0.43;0.28;0.27
SS;1, 1, 8;2;5;0.11;0.13;0.2;0.56;0.4;0.33
SS;7, 0, 8;4;5;-0.17;0.22;0.38;0.5;0.44;0.38
MS;4, 1, 0;2;5;0.051;0.15;0.23;0.51;0.37;0.32
MS;2, 1, 5;2;5;-0.17;0.2;0.4;0.47;0.36;0.26
