ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
MS;1, 1, 8;6;5;0.032;0.52;0.54;0.67;0.49;0.32
MS;0, 1, 7;2;5;0.063;0.51;0.45;0.73;0.49;0.28
MS;0, 1, 6;2;5;0.092;0.51;0.48;0.78;0.58;0.34
MS;1, 1, 7;10;15;-0.0058;0.5;0.45;0.68;0.4;0.22
MS;0, 1, 8;2;10;0.076;0.49;0.53;0.71;0.49;0.38
MS;0, 1, 8;2;15;-0.079;0.49;0.5;0.8;0.56;0.38
MS;2, 1, 6;4;5;0.045;0.48;0.47;0.66;0.38;0.22
SS;0, 1, 7;8;5;0.34;0.48;0.4;0.67;0.42;0.31
MS;1, 1, 5;4;5;0.014;0.48;0.45;0.7;0.4;0.18
MS;1, 1, 6;NA;NA;0.011;0.48;0.42;0.69;0.39;0.28
